Unnamed: 0,Incident-ID,Status,Betreff,Beschreibung,Lösungsbeschreibung,Anfrageart,Gelöst Dauer in h,Erstellt Datum Zeit,Incident-Typ,Herkunft,edited,intent,webhelp article,webhelp article 2,webhelp article 3,webhelp article 4
0,20150417-0021,Geschlossen,Probleme mit Facts List,"In den Veranstaltungen bin ich gerade am Erstellen eines neuen Events. Der Event findet in englischer Sprache statt, so ist die deutsche Seite nur marginal. 
 Nun habe ich auf der englischen Seite eine Facts List eingefuegt, die auf der deutschen Seite nicht sichtbar sein sollte, die aber trotzdem erscheint. Lösche ich sie auf der deutschen Seite, löscht es die List auch gleich auf der englischen Seite. 
 https://stage-www.hslu.ch/de-ch/wirtschaft/agenda/veranstaltungen/2015/08/27/tax-compliant-planning-strategies-for-brazilian-tax-residents-under-swiss-tax-law/
 Der Event ist noch unpublished.
 
 
 
 Ist es möglich, die Facts List von der deutschen Seite zu entfernen?
","Deutsche und englische Seiten haben immer die gleiche Struktur. 
So lange von einem Element keine englische Version existiert, wird auf der englischen Seite die deutsche Version von diesem Element dargestellt (Fallback). Auf der englischen Seite ganz oben, wird man durch den Hinweis ""Some content is not available in englisch"" darauf aufmerksam gemacht. 
Wird ein Element gelöscht, dann wird es automatisch bei beiden Sprachversionen gelöscht. 
Die Erzeugung von einer englischen Version von einem Item erfolgt automatisch, sobald auf der englischen Seite bei diesem Item etwas geändert und gesichert wird.
",Dokumentation nicht gelesen,4.51,17.04.2015 10:59,17.04.2015 10:59,E-Mail,yes,site structure german english,https://applsupport.hslu.ch/webhelp/index.html?hm_sprachversion.htm,,,
2,20150505-0075,Geschlossen,release,"
 Wann findet der Release jeweils statt?
 ","Die Webseite wird jeden Tag, auch am Wochenende, um 12:05 und 00:05 aktualisiert.",Dokumentation nicht gelesen,2.21,05.05.2015 15:46,Service Request,E-Mail,yes,publishing,https://applsupport.hslu.ch/webhelp/index.html?hm_publishing.htm,,,
3,20150518-0070,Geschlossen,Ganze Seite inaktiv setzen,"Ich möchte auf der iHomeLab Microsite einen kompletten Menuepunkt (am iHomeLab studieren) inaktiv setzen. Ich habe nun bereits im Page Editor sämtliche Häkchen bei der Navigation rausgenommen (im Menue sichtbar, Breadcrumb, side Navigation, etc.). Nach der nächsten Aktualisierung sollte der Punkt also nicht mehr im Menue angezeigt werden.
Falls aber nun jemand den direkten Link hätte, wäre ja die Site trotzdem noch aufrufbar. Wie setze ich die ganze Seite inaktiv? 
","Wenn eine Seite live auf der Website nicht angezeigt werden sollte, hat man Im Page Editor unter Campus > Publish Options zwei Möglichkeiten:
1. Du setzt ein Datum, an dem die Seite veröffentlicht werden soll
2. Du aktivierst die Checkbox ""never publish"". Dann musst du einfach, sobald die Seite veröffentlicht werden soll, die Checkbox wieder deaktivieren. Achtung: Alle Untergeordneten Seiten werden auch nicht sichtbar sein.
Zu beachten: Falls die Seite bei Google bereits indexiert wurde, bleibt die Seite weiterhin dort aufgeführt,und die Klicks führen dann ins Leere. Bei beliebten Seiten mit viel Aufrufen, sollte daher bei Bedarf eine Umleitung eingerichtet werden.
Mehr Infos dazu [hier](https://applsupport.hslu.ch/webhelp/index.html?hm_publish_options.htm)",Dokumentation nicht gelesen,0.16,18.05.2015 14:23,Service Request,E-Mail,yes,site deactivate,no,,,
4,20150522-0056,Geschlossen,kann keine neue Bildergallerie einfÃƒÆ’¼gen,"
 Ich glaube, wir haben diesen Punkt schon einmal besprochen (ich kann mich aber nicht mehr an die Antwort erinnern):
 Wenn ich auf der News Seite vom iHomeLab eine Bildergallerie einfuegen möchte, bleibt der OK Button inaktiv. Was mache ich falsch?
 ","Du musst einen Unterordner anwählen, du kannst nicht auf der obersten Ebene eine Bildergalerie anlegen. 
 ",Dokumentation nicht gelesen,0.53,22.05.2015 15:33,Service Request,E-Mail,yes,picture gallerie insert,no,,,
12,20150721-0008,Geschlossen,"Web neues ""Basismodul""","
 Madeleine hat mir die Unterlagen fuer die Erstellung einer Seite im Website fuer den Edig. Fachausweis öffentliche Verwaltung gegeben.
 Tiziana hatte ihr gesagt, dass ich die Seite erstellen kann und dann etwas machen kann, damit diese noch nicht veröffentlicht wird.
 Könnt ihr mir bitte sagen, wie ich das machen kann?
 ","Wenn eine Seite live auf der Website nicht angezeigt werden sollte, hat man Im Page Editor unter Campus > Publish Options zwei Möglichkeiten:
1. Du setzt ein Datum, an dem die Seite veröffentlicht werden soll
2. Du aktivierst die Checkbox ""never publish"". Dann musst du einfach, sobald die Seite veröffentlicht werden soll, die Checkbox wieder deaktivieren. Achtung: Alle Untergeordneten Seiten werden auch nicht sichtbar sein.
Zu beachten: Falls die Seite bei Google bereits indexiert wurde, bleibt die Seite weiterhin dort aufgeführt,und die Klicks führen dann ins Leere. Bei beliebten Seiten mit viel Aufrufen, sollte daher bei Bedarf eine Umleitung eingerichtet werden.
Mehr Infos dazu [hier](https://applsupport.hslu.ch/webhelp/index.html?hm_publish_options.htm)
 ",Dokumentation nicht gelesen,2.81,21.07.2015 08:19,Service Request,E-Mail,yes,site deactivate,no,,,
14,20150728-0041,Geschlossen,Titel im englischen Personenprofil,"
 Ich möchte gerne wissen, ob der Titel des Personenprofils in Englisch aus dem Evento gezogen wird oder ob dieser manuell selbstständig gepflegt wird:
 
 
 ","Die Angaben im Kontaktteaser fliessen via Schnittstelle Evento /SAP in Sitecore. Sollen die Angaben dauerhaft geändert werden, müssen das folglich die  Personaldatenverantwortlichen in Evento anpassen. Via Sitecore kann einfach pro Kontaktteaser die Funktion einmalig (also dort wo die jeweiligen Kontaktteaser dann liegen) mit dem Element Kontaktperson-Element (manuell) übersteuert werden. Bei diesem Element können alle Daten des Kontakts manuell eingeben werden. Diese  Anpassungen werden aber nur für diese eine Seite gelten. Siehe hier: [https://applsupport.hslu.ch/webhelp/hm_kontaktperson-element_manuell_.htm?zoom_highlightsub=kontaktperson](https://applsupport.hslu.ch/webhelp/hm_kontaktperson-element_manuell_.htm?zoom_highlightsub=kontaktperson)",Dokumentation nicht gelesen,17.96,28.07.2015 14:50,Service Request,E-Mail,yes,contact edit,no,,,
15,20150729-0055,Geschlossen,Veranstaltung lÃƒÆ’¶schen,"
 Ich hatte den Auftrag erhalten eine Veranstaltung aufs Web zu stellen.
 Die Seite habe ich erstellt und dann gesehen, dass die Seite schon existiert
 Jetzt möchte ich meine Seite natuerlich wieder löschen:
 
 Kann ich das einfach ueber diesen Button machen oder wie muss ich vorgehen?
 ","Wenn Seiten umbenennt, verschoben oder gelöscht werden oder die URL einer Seite geändert wird, muss vorher überlegt werden, ob Umleitungen eingerichtet werden müssen. Umleitungen sind nicht bei allen Seiten nötig. Sie werden erst dann eingerichtet wenn das Suchmaschinen Ranking der Seite relevant ist, die Seite viele Seitenaufrufe hat oder intern auf der Website viele Verlinkungen auf diese Seite führen (also eigentlich immer dann, wenn die alte URL weiterhin funktionieren soll). Wichtig ist, dass diese Umleitungen eingerichtet werden bevor die Seite umbenannt, verschoben oder gelöscht wird. Schickt bitte alle Umleitungen, die eingerichtet werden müssen an [websupport@hslu.ch](mailto:websupport@hslu.ch). Bitte die alte und neue URL angeben, sowie was mit der Seite gemacht wird (verschieben, umbenennen, löschen). Falls es mehrere Umleitungen sind gerne in einer Exceltabelle. Sobald wir die Umleitungen eingerichtet haben geben wir euch bescheid und ihr könnt dann die Seiten umbenennen, verschieben oder löschen.
Um eine Seite zu löschen kann so vorgegangen werden:
 1) Auf die zu löschende Seite navigieren und im Ribbon-Menü den Befehl ""Home > Delete Page"" aufrufen.
2) Den Warnhinweis lesen und gegebenenfalls auf OK klicken.
3) Zeigen Links auf dieses Seite, erscheint ein weiteres Hinweisfenster. Es muss entschieden werden, was mit diesen Linkst geschehen soll 
Mehr Infos danzu [hier](https://applsupport.hslu.ch/webhelp/index.html?hm_seite_löschen.htm)",Dokumentation nicht gelesen,2.59,29.07.2015 14:12,Service Request,E-Mail,yes,site delete,https://applsupport.hslu.ch/webhelp/index.html?hm_seite_löschen.htm,,,
25,20150819-0067,Geschlossen,Login Site,"
 Könntet Ihr mir bitte kurz helfen mit dem Login fuer die Webseite?
 ","Das Login ist das normale HSLU-Login, man muss aber immer campus\ vor den Benutzernamen schreiben
- Login-Seite Live: [https://stage-www.hslu.ch/sitecore/login](https://int-stage-www.hslu.ch/sitecore/login)
- Login-Seite Schulungsumgebung: [https://int-stage-www.hslu.ch/sitecore/login](https://int-stage-www.hslu.ch/sitecore/login)""",Dokumentation nicht gelesen,0,19.08.2015 12:19,Service Request,E-Mail,yes,login,https://applsupport.hslu.ch/webhelp/index.html?hm_login.htm,,,
45,20150914-0063,Geschlossen,Hilfe bei PDF,"
 Könntet Ihr mir mitteilen, wie ich den Stundenplan bei Studium Animation
 so programmieren kann, dass man draufklickt und er dann gross erscheint?
","Um ein Bild einzufügen, das beim Draufklicken grösser dargestellt wird, kann ein manueller Teaser oder eine Bildergeschichte (mehrere Bilder ) eingefügt werden. Beim Bearbeiten muss die Checkbox ""Link (nur Bilder via Media Link) in Popup vergrössern"" ausgewählt werden. Das vergrösserte Bild muss als Link ausgewählt werden.
Falls der Haken bei ""Link (nur Bilder via Media Link) in Popup vergrössern"" gesetzt wurde aber das Bild beim Draufklicken nicht grösser dargestellt wird, liegt es wohl daran, dass das Bild noch nicht in der grossen Version hochgeladen wurde. Damit dar Popup funktioniert, muss das Bild 1x in der vorgegebenen Grösse für den Teaseroder die Bildergeschichte hochladen werden und 1x in der Grösse, wie es vergrössert dargestellt werden soll. Wenn der Teaser dann bearbeitet wird, kann im Bereich  ""Link"" durch die Funktion  ""Insert Media Link"" das grössere Bild und die Checkbox ""Link in Popup vergrössern"" ausgewählt werden. Dadurch wird das grössere Bild beim Klick auf das Teaserbild angezeigt.",Dokumentation nicht gelesen,36.19,14.09.2015 13:57,Service Request,E-Mail,yes,picture popup,https://applsupport.hslu.ch/webhelp/index.html?hm_teaser_bearbeiten.htm,,,
70,20151027-0024,Geschlossen,Collaborative leadership lab,"
 Ich bin dabei einige Anpassungen bei der englischen Seite des Collaborative leadership lab zu machen.
 Nun kommt in dieser Box beim Flyer immer: (Only in German). Wie kann ich das entfernen?
 
 ","Damit der Hinweis ""only in German"" verschwindet, musst du in der Media Library vom Dokument eine englische Version anlegen. In der Media-Library ist es möglich, von einem Bild- oder Dokument-Item auch eine Sprachversion (EN) zu erstellen. So kann kann z.B. bei einem PDF-Item in der englischen Version auch ein englisches Dokument hochgeladen werden. Wird solch ein File-Item, zum Beispiel mit einer Link und Download Liste verlinkt, stellt Sitecoreautomatisch das richtige Dokument (PDF) entsprechen der aktuellen Sprache zur Verfügung. Dazu musst du in der Media Library in demselben Item, indem sich die deutsche Version befindet, die Sprache oben Rechts wechseln und dann das englische Dokument dort anhängen. Mehr dazu findest du [hier](https://applsupport.hslu.ch/webhelp/index.html?hm_file-item-englische-version-er.htm)",Dokumentation nicht gelesen,9.14,27.10.2015 11:21,Service Request,E-Mail,yes,warning only in german,https://applsupport.hslu.ch/webhelp/index.html?hm_file-item-englische-version-er.htm,,,
